source,result,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:BP,,response to other organism,GO:0051707,1.20E-43,42.91937947,1610,146,81,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000125148,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000138642,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000134326,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000137965,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000140279,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000117228,ENSG00000169429,ENSG00000173432,ENSG00000100342,ENSG00000100906,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000173702,ENSG00000112343"
GO:BP,,response to external biotic stimulus,GO:0043207,1.20E-43,42.91937947,1612,146,81,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000125148,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000138642,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000134326,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000137965,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000140279,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000117228,ENSG00000169429,ENSG00000173432,ENSG00000100342,ENSG00000100906,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000173702,ENSG00000112343"
GO:BP,,response to biotic stimulus,GO:0009607,1.20E-43,42.91937947,1645,146,82,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000125148,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000138642,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000134326,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000137965,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000140279,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000117228,ENSG00000169429,ENSG00000173432,ENSG00000100342,ENSG00000100906,ENSG00000175197,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000173702,ENSG00000112343"
GO:BP,,innate immune response,GO:0045087,2.90E-42,41.53735999,999,146,67,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000125148,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000115267,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000160710,ENSG00000170581,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000117228,ENSG00000173432,ENSG00000100342,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000173702,ENSG00000112343"
GO:BP,,defense response,GO:0006952,8.43E-42,41.07422237,1831,146,83,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000110492,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000176046,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000140274,ENSG00000108679,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000140279,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000168394,ENSG00000117228,ENSG00000169429,ENSG00000173432,ENSG00000100342,ENSG00000100906,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000173702,ENSG00000112343"
GO:BP,,defense response to other organism,GO:0098542,2.64E-41,40.57893277,1222,146,71,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000125148,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000115267,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000117228,ENSG00000173432,ENSG00000100342,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000173702,ENSG00000112343"
GO:BP,,defense response to symbiont,GO:0140546,1.76E-38,37.75570315,269,146,41,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000185507,ENSG00000135114,ENSG00000107201,ENSG00000115267,ENSG00000055332,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000101347,ENSG00000130813,ENSG00000117228,ENSG00000128383,ENSG00000163840,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000112343"
GO:BP,,defense response to virus,GO:0051607,1.76E-38,37.75570315,269,146,41,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000185507,ENSG00000135114,ENSG00000107201,ENSG00000115267,ENSG00000055332,ENSG00000138646,ENSG00000138496,ENSG00000137628,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000101347,ENSG00000130813,ENSG00000117228,ENSG00000128383,ENSG00000163840,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000112343"
GO:BP,,biological process involved in interspecies interaction between organisms,GO:0044419,7.59E-38,37.1200162,2272,146,86,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000125148,ENSG00000019582,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000137959,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000173193,ENSG00000188313,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000132274,ENSG00000138642,ENSG00000185507,ENSG00000100911,ENSG00000135114,ENSG00000125730,ENSG00000134326,ENSG00000057149,ENSG00000068079,ENSG00000107201,ENSG00000196126,ENSG00000170345,ENSG00000115267,ENSG00000137965,ENSG00000078081,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000135899,ENSG00000138496,ENSG00000137628,ENSG00000243649,ENSG00000140279,ENSG00000136514,ENSG00000160710,ENSG00000170581,ENSG00000177606,ENSG00000163739,ENSG00000184979,ENSG00000101347,ENSG00000205420,ENSG00000067066,ENSG00000162654,ENSG00000198502,ENSG00000231389,ENSG00000133710,ENSG00000204287,ENSG00000123240,ENSG00000130813,ENSG00000168394,ENSG00000117228,ENSG00000169429,ENSG00000173432,ENSG00000100342,ENSG00000100906,ENSG00000013374,ENSG00000128383,ENSG00000163840,ENSG00000197903,ENSG00000143546,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000089692,ENSG00000152778,ENSG00000124256,ENSG00000140464,ENSG00000110446,ENSG00000173702,ENSG00000112343"
GO:BP,,response to type I interferon,GO:0034340,2.93E-37,36.53266216,99,146,30,18092,"ENSG00000185885,ENSG00000142089,ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000157601,ENSG00000119917,ENSG00000130303,ENSG00000185745,ENSG00000089127,ENSG00000183486,ENSG00000119922,ENSG00000204592,ENSG00000115415,ENSG00000172183,ENSG00000111335,ENSG00000132530,ENSG00000111331,ENSG00000185201,ENSG00000134321,ENSG00000185507,ENSG00000135114,ENSG00000068079,ENSG00000160710,ENSG00000170581,ENSG00000184979,ENSG00000101347,ENSG00000067066,ENSG00000130813,ENSG00000124256"
